part;var;de;en
common;save;"Speichern";"Save"
common;back;"Zurück";"Back"
common;confirm;"Bestätigen";"Confirm"
common;cancel;"Abbrechen";"Cancel"
common;actions;"Aktionen";"Actions"
common;delete;"Löschen";"Delete"
common;edit;"Bearbeiten";"Edit"
common;title;"Titel";"Title"
common;description;"Beschreibung";"Description"
common;add;"Hinzufügen";"Add"
common;filesize;"Grösse";"Filesize"
common;search;"Suchen";"Search"
common;tags;"Tags";"Tags"
common;move;"Verschieben";"Move"
common;more;"mehr";"more"
common;less;"weniger";"less"
admin;add_new_item;"Objekt hinzufügen";"Add new item"
admin;add_folder;"Ordner hinzufügen";"Add new Folder"
admin;add_video;"Video hinzufügen";"Add new video"
admin;confirm_delete;"Sind Sie sicher, dass sie folgende Elemente löschen möchten?";"Are you sure you want to delete the following items?"
msg;fld_created;"Ordner wurde erfolgreich erstellt";"Folder was created"
msg;choose_folder;"Bitte wählen Sie einen Zielordner, in welchen Sie die Datei(en) verschieben möchten.";"Please choose a destination folder, to which the file(s) should be moved."
form;add_folder;"Ordner hinzufügen";"Add Folder"
form;upload_vid;"Video(s) Hochladen";"Upload Video(s)"
form;vid;"Video(s)";"Video(s)"
form;tags;"Tags";"Tags"
form;edit_vid;"Video Bearbeiten";"Edit Video"
tbl;latest_uploads;"Zuletzt Hochgeladen";"Latest Uploads"
tbl;related_videos;"Verwandte Videos";"Related Videos"
tbl;search_results;"Suchergebnisse";"Searchresults"


